"timestamp","rrqm/s","%util","wkB/s","avgrq-sz","svctm","rkB/s","wrqm/s","r/s","await","r_await","w/s","avgqu-sz","w_await"
"1579133131000","0.00","1.35","866.26","26.78","0.20","20.58","127.60","0.36","7.86","21.34","65.87","0.52","7.79"
"1579133141000","0.00","1.23","1547.20","22.04","0.09","0.00","236.80","0.00","6.56","0.00","140.40","0.92","6.56"
"1579133151000","0.00","0.92","979.60","62.39","0.29","0.00","193.30","0.00","7.22","0.00","31.40","0.23","7.22"
"1579133161000","0.00","0.85","858.00","62.17","0.31","0.00","169.00","0.00","7.88","0.00","27.60","0.22","7.88"
"1579133171000","0.00","9.17","1673.20","25.45","0.70","0.00","262.70","0.00","91.86","0.00","131.50","12.08","91.86"
"1579133181000","0.00","1.71","1041.60","49.13","0.40","0.00","182.20","0.00","15.34","0.00","42.40","0.65","15.34"
"1579133191000","0.00","0.77","1039.60","85.21","0.32","0.00","182.00","0.00","8.53","0.00","24.40","0.21","8.53"
"1579133201000","0.00","1.06","1104.00","70.54","0.34","0.00","179.70","0.00","9.45","0.00","31.30","0.30","9.45"
"1579133211000","0.00","1.37","1594.80","23.00","0.10","0.00","247.60","0.00","7.43","0.00","138.70","1.03","7.43"
"1579133221000","0.00","0.83","901.60","65.10","0.30","0.00","183.10","0.00","6.70","0.00","27.70","0.19","6.70"
"1579133231000","0.00","0.79","986.40","54.95","0.22","0.00","191.00","0.00","6.60","0.00","35.90","0.24","6.60"
"1579133241000","0.00","1.26","1209.60","16.73","0.09","0.00","136.90","0.00","6.86","0.00","144.60","0.99","6.86"
"1579133251000","0.00","0.68","861.60","84.89","0.33","0.00","180.80","0.00","6.60","0.00","20.30","0.13","6.60"
"1579133261000","0.00","0.69","922.40","116.03","0.43","0.00","204.00","0.00","5.99","0.00","15.90","0.10","5.99"
"1579133271000","0.00","1.49","1866.40","18.85","0.08","0.00","228.70","0.00","6.69","0.00","198.00","1.32","6.69"
"1579133281000","0.00","0.54","798.40","840.42","2.84","0.00","197.70","0.00","21.53","0.00","1.90","0.04","21.53"
"1579133291000","0.00","1.31","1734.00","18.28","0.07","0.00","214.90","0.00","5.95","0.00","189.70","1.13","5.95"
"1579133301000","0.00","0.63","821.98","783.62","3.00","0.00","203.40","0.00","24.90","0.00","2.10","0.05","24.90"
"1579133311000","0.00","1.31","1739.20","18.34","0.07","0.00","215.00","0.00","6.07","0.00","189.70","1.15","6.07"
"1579133321000","0.00","0.55","796.80","885.33","3.06","0.00","197.40","0.00","22.78","0.00","1.80","0.04","22.78"
"1579133331000","0.00","1.36","1777.20","18.41","0.07","0.00","223.40","0.00","5.98","0.00","193.10","1.16","5.98"
"1579133341000","0.00","0.54","822.00","822.00","2.70","0.00","203.50","0.00","20.20","0.00","2.00","0.04","20.20"
"1579133351000","0.00","1.38","1781.20","18.47","0.07","0.00","219.50","0.00","6.31","0.00","192.90","1.22","6.31"
"1579133361000","0.00","1.06","971.60","404.83","2.21","0.00","237.30","0.00","16.06","0.00","4.80","0.08","16.06"
"1579133371000","0.00","0.50","730.00","858.82","2.94","0.00","180.80","0.00","17.76","0.00","1.70","0.03","17.76"
"1579133381000","0.00","1.62","2142.40","19.66","0.07","0.00","276.10","0.00","7.13","0.00","217.90","1.55","7.13"
"1579133391000","0.00","0.55","790.00","877.78","3.06","0.00","195.70","0.00","22.78","0.00","1.80","0.04","22.78"
"1579133401000","0.00","2.91","2155.20","19.65","0.13","0.00","273.80","0.00","8.22","0.00","219.40","1.80","8.22"
"1579133411000","0.00","0.53","767.60","852.89","2.94","0.00","190.10","0.00","21.28","0.00","1.80","0.04","21.28"
"1579133421000","0.00","2.89","2134.00","20.68","0.14","0.00","283.80","0.00","7.16","0.00","206.40","1.48","7.16"
"1579133431000","0.00","2.32","938.40","134.06","1.66","0.00","218.60","0.00","10.02","0.00","14.00","0.14","10.02"
"1579133441000","0.00","5.95","941.60","134.51","4.25","0.00","218.40","0.00","22.50","0.00","14.00","0.32","22.50"
"1579133451000","0.00","2.29","1887.60","24.48","0.15","0.00","313.10","0.00","7.49","0.00","154.20","1.16","7.49"
"1579133461000","0.00","6.91","1594.40","36.65","0.79","0.00","243.90","0.00","9.56","0.00","87.00","0.83","9.56"
"1579133471000","0.00","4.31","1086.80","93.69","1.86","0.00","237.60","0.00","8.94","0.00","23.20","0.21","8.94"
"1579133481000","0.00","8.12","1917.20","24.12","0.51","0.00","312.60","0.00","8.45","0.00","159.00","1.34","8.45"
"1579133491000","0.00","6.47","1537.20","42.70","0.90","0.00","264.70","0.00","7.89","0.00","72.00","0.57","7.89"
"1579133501000","0.00","3.80","1397.20","50.08","0.68","0.00","251.40","0.00","7.24","0.00","55.80","0.40","7.24"
"1579133511000","0.00","5.52","1223.60","76.24","1.72","0.00","264.50","0.00","6.83","0.00","32.10","0.22","6.83"
"1579133521000","0.00","4.37","2074.80","23.96","0.25","0.00","336.20","0.00","7.40","0.00","173.20","1.28","7.40"
"1579133531000","0.00","6.71","1537.20","41.66","0.91","0.00","249.30","0.00","8.93","0.00","73.80","0.66","8.93"
"1579133541000","0.00","2.81","1133.20","55.55","0.69","0.00","214.10","0.00","14.43","0.00","40.80","0.59","14.43"
"1579133551000","0.00","5.96","1970.00","24.46","0.37","0.00","324.80","0.00","7.69","0.00","161.10","1.24","7.69"
"1579133561000","0.00","2.91","1090.80","62.87","0.84","0.00","219.20","0.00","8.10","0.00","34.70","0.28","8.10"
"1579133571000","0.00","2.17","1165.20","45.87","0.43","0.00","203.30","0.00","6.44","0.00","50.80","0.33","6.44"
"1579133581000","0.00","2.71","1170.80","77.03","0.89","0.00","247.00","0.00","5.13","0.00","30.40","0.16","5.13"
"1579133591000","0.00","3.43","1874.80","22.93","0.21","0.00","295.70","0.00","6.67","0.00","163.50","1.09","6.67"
"1579133601000","0.00","1.68","1133.60","53.60","0.40","0.00","213.30","0.00","5.32","0.00","42.30","0.22","5.32"
"1579133611000","0.00","0.69","732.40","47.71","0.22","0.00","130.30","0.00","6.04","0.00","30.70","0.19","6.04"
"1579133621000","0.00","2.25","2016.40","26.81","0.15","0.00","340.40","0.00","6.73","0.00","150.40","1.01","6.73"
"1579133631000","0.00","0.93","646.00","55.69","0.40","0.00","127.50","0.00","5.83","0.00","23.20","0.14","5.83"
"1579133641000","0.00","3.83","1330.67","70.29","1.01","0.00","272.53","0.00","9.18","0.00","37.86","0.35","9.18"
"1579133651000","0.00","0.64","913.60","86.60","0.30","0.00","193.40","0.00","5.84","0.00","21.10","0.12","5.84"
"1579133661000","0.00","2.62","1664.80","20.71","0.16","0.00","243.40","0.00","9.13","0.00","160.80","1.47","9.13"
"1579133671000","0.00","1.97","778.80","49.45","0.63","0.00","145.70","0.00","7.35","0.00","31.50","0.23","7.35"
"1579133681000","0.00","1.43","927.20","56.88","0.44","0.00","278.50","0.00","7.22","0.00","32.60","0.25","7.22"
"1579133691000","0.00","1.36","1833.60","23.58","0.09","0.00","191.80","0.00","7.89","0.00","155.50","1.22","7.89"
"1579133701000","0.00","0.69","902.80","78.16","0.30","0.00","189.50","0.00","5.99","0.00","23.10","0.14","5.99"
"1579133711000","0.00","0.73","974.80","60.55","0.23","0.00","187.00","0.00","7.40","0.00","32.20","0.24","7.40"
"1579133721000","0.00","0.82","988.80","69.15","0.29","0.00","201.70","0.00","7.96","0.00","28.60","0.23","7.96"
"1579133731000","0.00","1.38","1650.00","21.28","0.09","0.00","247.70","0.00","7.61","0.00","155.10","1.18","7.61"
"1579133741000","0.00","1.28","1186.80","76.08","0.41","0.00","250.80","0.00","7.37","0.00","31.20","0.23","7.37"
"1579133751000","0.00","1.44","1082.40","65.40","0.44","0.00","213.10","0.00","9.44","0.00","33.10","0.31","9.44"
"1579133761000","0.00","2.58","2125.60","24.33","0.15","0.00","340.60","0.00","6.80","0.00","174.70","1.19","6.80"
"1579133771000","0.00","1.60","1140.00","79.44","0.56","0.00","241.50","0.00","3.65","0.00","28.70","0.10","3.65"
"1579133781000","0.00","2.08","1364.80","54.81","0.42","0.00","255.40","0.00","5.36","0.00","49.80","0.27","5.36"
"1579133791000","0.00","2.19","1023.20","62.58","0.67","0.00","204.30","0.00","4.25","0.00","32.70","0.14","4.25"
"1579133801000","0.00","3.30","2407.20","26.02","0.18","0.00","395.70","0.00","5.95","0.00","185.00","1.10","5.95"
"1579133811000","0.00","1.66","1106.80","64.91","0.49","0.00","221.60","0.00","3.24","0.00","34.10","0.11","3.24"
"1579133821000","0.00","1.92","1329.60","56.82","0.41","0.00","245.60","0.00","4.73","0.00","46.80","0.22","4.73"
"1579133831000","0.00","6.04","2586.00","26.43","0.31","0.00","422.70","0.00","8.62","0.00","195.70","1.69","8.62"
"1579133841000","0.00","2.51","1410.00","61.71","0.55","0.00","277.70","0.00","3.24","0.00","45.70","0.15","3.24"
"1579133851000","0.00","2.62","1456.80","61.47","0.55","0.00","280.40","0.00","4.00","0.00","47.40","0.19","4.00"
"1579133861000","0.00","4.05","2464.00","24.90","0.20","0.00","391.20","0.00","5.57","0.00","197.90","1.10","5.57"
"1579133871000","0.00","3.05","1379.20","62.55","0.69","0.00","273.40","0.00","3.17","0.00","44.10","0.14","3.17"
"1579133881000","0.00","4.15","1610.00","65.05","0.84","0.00","310.90","0.00","2.91","0.00","49.50","0.14","2.91"
"1579133891000","0.00","4.41","1732.40","56.16","0.71","0.00","336.00","0.00","3.43","0.00","61.70","0.21","3.43"
"1579133901000","0.00","6.63","2616.00","25.44","0.32","0.00","415.30","0.00","5.96","0.00","205.70","1.23","5.96"
"1579133911000","0.00","5.33","1605.20","60.23","1.00","0.00","313.50","0.00","4.18","0.00","53.30","0.22","4.18"
"1579133921000","0.00","4.70","1763.20","55.97","0.75","0.00","330.60","0.00","3.13","0.00","63.00","0.20","3.13"
"1579133931000","0.00","6.12","3038.00","26.93","0.27","0.00","488.60","0.00","5.58","0.00","225.60","1.26","5.58"
"1579133941000","0.00","4.40","1664.80","62.24","0.82","0.00","325.70","0.00","2.51","0.00","53.50","0.13","2.51"
"1579133951000","0.00","4.04","1879.20","56.86","0.61","0.00","351.50","0.00","2.44","0.00","66.10","0.16","2.44"
"1579133961000","0.00","5.76","3024.00","26.68","0.25","0.00","478.00","0.00","4.89","0.00","226.70","1.11","4.89"
"1579133971000","0.00","3.69","1655.60","58.30","0.65","0.00","322.20","0.00","2.38","0.00","56.80","0.14","2.38"
"1579133981000","0.00","7.70","1935.60","55.62","1.11","0.00","366.30","0.00","2.21","0.00","69.60","0.15","2.21"
"1579133991000","0.00","5.22","3076.80","27.51","0.23","0.00","481.10","0.00","5.20","0.00","223.70","1.16","5.20"
"1579134001000","0.00","4.27","1806.40","56.27","0.67","0.00","339.50","0.00","2.43","0.00","64.20","0.16","2.43"
"1579134011000","0.00","5.46","2114.40","52.60","0.68","0.00","398.00","0.00","2.48","0.00","80.40","0.20","2.48"
"1579134021000","0.00","7.03","2960.80","27.19","0.32","0.00","467.70","0.00","5.95","0.00","217.80","1.30","5.95"
"1579134031000","0.00","5.88","2138.40","51.28","0.71","0.00","397.00","0.00","4.09","0.00","83.40","0.34","4.09"
"1579134041000","0.00","5.02","2038.80","53.37","0.66","0.00","384.40","0.00","2.61","0.00","76.40","0.20","2.61"
"1579134051000","0.00","5.54","3025.60","27.36","0.25","0.00","496.10","0.00","5.19","0.00","221.20","1.15","5.19"
"1579134061000","0.00","6.12","2201.20","51.31","0.71","0.00","402.00","0.00","1.99","0.00","85.80","0.17","1.99"
"1579134071000","0.00","5.48","2159.60","51.42","0.65","0.00","400.20","0.00","2.04","0.00","84.00","0.17","2.04"
"1579134081000","0.00","5.83","3052.00","26.47","0.25","0.00","481.30","0.00","5.46","0.00","230.60","1.26","5.46"
"1579134091000","0.00","7.11","2068.40","56.67","0.97","0.00","389.00","0.00","2.75","0.00","73.00","0.20","2.75"
"1579134101000","0.00","6.37","2084.00","48.69","0.74","0.00","378.20","0.00","2.83","0.00","85.60","0.24","2.83"
"1579134111000","0.00","7.28","2401.20","50.60","0.77","0.00","444.00","0.00","2.47","0.00","94.90","0.23","2.47"
"1579134121000","0.00","5.61","3274.40","27.26","0.23","0.00","529.00","0.00","4.80","0.00","240.20","1.15","4.80"
"1579134131000","0.00","5.43","2135.20","56.71","0.72","0.00","401.70","0.00","2.10","0.00","75.30","0.16","2.10"
"1579134141000","0.00","7.23","2142.40","50.53","0.85","0.00","391.10","0.00","2.48","0.00","84.80","0.21","2.48"
"1579134151000","0.00","6.66","3256.40","27.02","0.28","0.00","525.00","0.00","12.51","0.00","241.00","3.02","12.51"
"1579134161000","0.00","6.81","2118.00","49.78","0.80","0.00","390.00","0.00","2.21","0.00","85.10","0.19","2.21"
"1579134171000","0.00","6.91","2474.40","54.68","0.76","0.00","458.40","0.00","1.84","0.00","90.50","0.17","1.84"
"1579134181000","0.00","5.87","2222.40","51.27","0.68","0.00","410.90","0.00","1.99","0.00","86.70","0.17","1.99"
